"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.396625696E1,4.870803673E1,2.211602530E0,1.472457958E2,1.939387817E2,1.519999981E0,1.765000000E2,1.918189850E0,4.070368767E0,4.192724228E0,2.200000000E1
5.496144998E1,4.870804061E1,2.211590840E0,1.465066557E2,1.931996460E2,1.220000029E0,2.018999939E2,1.918491737E0,3.993256807E0,4.233432293E0,2.400000000E1
5.596468008E1,4.870804185E1,2.211587180E0,1.461948868E2,1.928878784E2,1.200000048E0,1.723999939E2,1.918774416E0,3.913135767E0,4.119032383E0,2.500000000E1
5.696350602E1,4.870804176E1,2.211591030E0,1.456445347E2,1.923375244E2,1.309999943E0,1.396000061E2,1.920706280E0,3.830400944E0,3.963143349E0,2.500000000E1
5.796201206E1,4.870802686E1,2.211577490E0,1.455452785E2,1.922382812E2,2.380000114E0,2.021999969E2,1.921775886E0,3.832284927E0,3.980651140E0,2.500000000E1
5.896314243E1,4.870802425E1,2.211563460E0,1.450578435E2,1.917508545E2,1.110000014E0,2.208999939E2,1.922284042E0,3.790092468E0,3.804210424E0,2.300000000E1
5.996596378E1,4.870802386E1,2.211556560E0,1.450469756E2,1.917399902E2,1.110000014E0,2.006999969E2,1.923236380E0,3.790092468E0,3.782476425E0,2.400000000E1
6.096314081E1,4.870801557E1,2.211553300E0,1.451576882E2,1.918507080E2,1.450000048E0,2.028999939E2,1.924443974E0,3.790092468E0,3.954546690E0,2.200000000E1
6.196680748E1,4.870800697E1,2.211543250E0,1.446413221E2,1.913343506E2,1.350000024E0,2.088999939E2,1.924894401E0,3.838258743E0,4.155004025E0,2.100000000E1
6.296384748E1,4.870800367E1,2.211546810E0,1.446269793E2,1.913200073E2,1.139999986E0,2.021999969E2,1.926286014E0,3.939144611E0,4.266772747E0,2.100000000E1
6.396296388E1,4.870800179E1,2.211565560E0,1.437193342E2,1.904123535E2,1.299999952E0,1.583000031E2,1.927437425E0,3.838452816E0,4.104371548E0,2.100000000E1
6.496269815E1,4.870799547E1,2.211577990E0,1.431721577E2,1.898651733E2,1.470000029E0,1.671000061E2,1.928090301E0,3.792198896E0,4.070668697E0,2.300000000E1
6.596248081E1,4.870799778E1,2.211586170E0,1.420425241E2,1.887355347E2,1.049999952E0,1.643999939E2,1.928973749E0,3.790092468E0,3.953298330E0,2.300000000E1
6.696219800E1,4.870799224E1,2.211577540E0,1.419260013E2,1.886190186E2,1.980000019E0,2.145000000E2,1.930695862E0,3.790092468E0,3.930070639E0,2.500000000E1
6.796440987E1,4.870800543E1,2.211565240E0,1.424823360E2,1.891753540E2,1.529999971E0,2.795000000E2,1.931777637E0,3.790092468E0,3.842479706E0,2.500000000E1
6.896374576E1,4.870801379E1,2.211557700E0,1.398396965E2,1.865327148E2,1.299999952E0,2.476999969E2,1.933617442E0,3.790092468E0,3.721493959E0,2.500000000E1
6.996295800E1,4.870802896E1,2.211547690E0,1.384862432E2,1.851792603E2,1.419999957E0,2.717999878E2,1.934714705E0,9.935046196E0,3.979754210E0,2.500000000E1
7.096643581E1,4.870803870E1,2.211545290E0,1.382315464E2,1.849245605E2,1.100000024E0,2.653999939E2,1.935430896E0,9.935046196E0,3.967833281E0,2.200000000E1
7.195993555E1,4.870804410E1,2.211539970E0,1.369604278E2,1.836534424E2,1.149999976E0,2.572000122E2,1.935730006E0,9.935046196E0,4.067190170E0,2.400000000E1
7.296600789E1,4.870804395E1,2.211535900E0,1.366103280E2,1.833033447E2,1.159999967E0,2.511999969E2,1.936249612E0,9.935046196E0,4.307386398E0,2.300000000E1
7.396169601E1,4.870804386E1,2.211528820E0,1.355507540E2,1.822437744E2,1.309999943E0,2.571000061E2,1.936540550E0,9.935046196E0,4.284924030E0,2.300000000E1
7.496272539E1,4.870804143E1,2.211527350E0,1.370998245E2,1.837928467E2,1.330000043E0,2.443000031E2,1.946646683E0,9.935046196E0,4.165877819E0,2.200000000E1
7.595597971E1,4.870808529E1,2.211647980E0,1.353640643E2,1.820570068E2,1.340000033E0,2.433999939E2,1.947208551E0,4.443782806E0,4.558321476E0,2.300000000E1
7.696062810E1,4.870808039E1,2.211646110E0,1.349607410E2,1.816536865E2,1.259999990E0,2.440000000E2,1.947743652E0,4.408968925E0,4.455035210E0,2.500000000E1
7.796328487E1,4.870808373E1,2.211651360E0,1.349909574E2,1.816838989E2,0.000000000E0,NaN,1.948071171E0,1.007871914E1,4.611829281E0,2.500000000E1
7.896174596E1,4.870808501E1,2.211655380E0,1.346218194E2,1.813147583E2,0.000000000E0,NaN,1.948580366E0,1.009190369E1,4.602264404E0,1.600000000E1
7.996099169E1,4.870808869E1,2.211651250E0,1.348614429E2,1.815543823E2,0.000000000E0,NaN,1.949171542E0,1.009662056E1,4.591000080E0,1.900000000E1
8.096165138E1,4.870808442E1,2.211646450E0,1.349158820E2,1.816088257E2,0.000000000E0,NaN,1.949273701E0,1.012886524E1,4.694467545E0,2.200000000E1
