"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
8.970072596E1,4.871033105E1,2.195259050E0,1.437870938E2,1.904874268E2,1.379999995E0,1.179000015E2,7.425775463E-1,3.790092468E0,2.500000000E0,3.100000000E1
9.070756580E1,4.871032149E1,2.195279000E0,1.435795194E2,1.902798462E2,1.330000043E0,1.235000000E2,7.442721637E-1,3.790092468E0,2.500000000E0,3.100000000E1
9.170764757E1,4.871030888E1,2.195291970E0,1.438040692E2,1.905043945E2,1.429999948E0,1.483000031E2,7.459542711E-1,3.790092468E0,2.500000000E0,3.100000000E1
9.270791314E1,4.871029833E1,2.195308400E0,1.437648886E2,1.904652100E2,1.340000033E0,1.263000031E2,7.476625556E-1,3.790092468E0,2.500000000E0,3.100000000E1
9.370819575E1,4.871028579E1,2.195321850E0,1.435880104E2,1.902883301E2,1.370000005E0,1.391999969E2,7.493925433E-1,3.790092468E0,2.500000000E0,3.100000000E1
9.470997522E1,4.871027303E1,2.195335340E0,1.435939934E2,1.902943115E2,1.370000005E0,1.383000031E2,7.511801517E-1,3.790092468E0,2.500000000E0,3.100000000E1
9.570252814E1,4.871025826E1,2.195344960E0,1.428682842E2,1.895686035E2,1.330000043E0,1.438000031E2,7.529537751E-1,3.790092468E0,2.500000000E0,3.100000000E1
9.671006965E1,4.871024326E1,2.195353180E0,1.429105186E2,1.896108398E2,1.389999986E0,1.523999939E2,7.548619083E-1,3.790092468E0,2.500000000E0,3.100000000E1
9.770095324E1,4.871022783E1,2.195364560E0,1.424945634E2,1.891948853E2,1.500000000E0,1.413000031E2,7.566373406E-1,3.790092468E0,2.500000000E0,3.100000000E1
9.870845824E1,4.871021312E1,2.195373970E0,1.429510441E2,1.896513672E2,1.389999986E0,1.498000031E2,7.582127229E-1,3.790092468E0,2.500000000E0,3.000000000E1
9.970082278E1,4.871020015E1,2.195382610E0,1.428518610E2,1.895521851E2,1.259999990E0,1.493999939E2,7.598739011E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.007058706E2,4.871018676E1,2.195392650E0,1.436553274E2,1.903556519E2,1.299999952E0,1.490000000E2,7.615168885E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.017042204E2,4.871017363E1,2.195402920E0,1.436955493E2,1.903958740E2,1.289999962E0,1.466000061E2,7.632305691E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.027024801E2,4.871016088E1,2.195416040E0,1.442402895E2,1.909406128E2,1.429999948E0,1.438999939E2,7.649494960E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.036956028E2,4.871014614E1,2.195423100E0,1.439120400E2,1.906123657E2,1.450000048E0,1.661000061E2,7.665577520E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.047011569E2,4.871013181E1,2.195426070E0,1.435351435E2,1.902354736E2,1.370000005E0,1.736999969E2,7.681804964E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.057070146E2,4.871011779E1,2.195432210E0,1.431186369E2,1.898189697E2,1.480000019E0,1.683000031E2,7.699264226E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.067037487E2,4.871010252E1,2.195437750E0,1.437983820E2,1.904987183E2,1.470000029E0,1.668999939E2,7.715928189E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.077016198E2,4.871008801E1,2.195443430E0,1.441062402E2,1.908065796E2,1.389999986E0,1.620000000E2,7.733135125E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.087013539E2,4.871007350E1,2.195451580E0,1.442730475E2,1.909733887E2,1.500000000E0,1.581000061E2,7.750325314E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.097057034E2,4.871005990E1,2.195462720E0,1.446302863E2,1.913306274E2,1.480000019E0,1.515000000E2,7.769708938E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.107021686E2,4.871004460E1,2.195475380E0,1.446731331E2,1.913734741E2,1.590000033E0,1.535000000E2,7.787521677E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.116992256E2,4.871002897E1,2.195480700E0,1.449726289E2,1.916729736E2,1.490000010E0,1.616999969E2,7.807091275E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.126997090E2,4.871001140E1,2.195482240E0,1.448120389E2,1.915123901E2,1.600000024E0,1.776000061E2,7.826004110E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.137030161E2,4.870999445E1,2.195484380E0,1.451118377E2,1.918121948E2,1.480000019E0,1.720000000E2,7.846138214E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.147019159E2,4.870997636E1,2.195485570E0,1.451522972E2,1.918526611E2,1.669999957E0,1.835000000E2,7.863237497E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.157048352E2,4.870996099E1,2.195486310E0,1.450239953E2,1.917243652E2,1.509999990E0,1.878000031E2,7.878289306E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.167013423E2,4.870994747E1,2.195487320E0,1.450753208E2,1.917756958E2,1.480000019E0,1.860000000E2,7.896671959E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.177111843E2,4.870993126E1,2.195492240E0,1.454310906E2,1.921314697E2,1.750000000E0,1.738000031E2,7.915535587E-1,3.790092468E0,2.500000000E0,2.800000000E1
